country,year,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_demand_per_capita,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy
Germany,1900,DEU,55775391.0,258778104000.0,,,,,,,,,,,,,,,,,,11607.4658203125,647.4109497070312,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.425745010375977,0.5814999938011169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,1901,DEU,56591445.0,252659264000.0,,,,,,,,,,,,,,,,0.9414188265800476,6.0948486328125,11547.7841796875,653.5057983398438,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.999999046325684,-0.0697799921035766,9.042356491088867,0.5117200016975403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,1902,DEU,57433002.0,258695544000.0,,,,,,,,,,,,,,,,-1.3286960124969482,-8.68310546875,11227.3896484375,644.8226928710938,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.636362075805664,0.0697799921035766,10.12484073638916,0.5814999938011169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,1903,DEU,58300637.0,273137585000.0,,,,,,,,,,,,,,,,8.148957252502441,52.54632568359375,11961.6015625,697.3690185546875,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.999998092651367,0.1511899828910827,12.56744384765625,0.7326899766921997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,1904,DEU,59181365.0,284058684000.0,,,,,,,,,,,,,,,,3.998925685882568,27.88726806640625,12254.80859375,725.2562866210938,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.85714721679688,0.3140100240707397,17.686309814453125,1.0467000007629397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,1905,DEU,60075384.0,290170512000.0,,,,,,,,,,,,,,,,5.798445224761963,42.0535888671875,12772.4501953125,767.3098754882812,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.222220420837402,-0.1279299855232238,15.293619155883787,0.9187700152397156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,1906,DEU,60982895.0,298832544000.0,,,,,,,,,,,,,,,,7.666419506072998,58.8251953125,13546.9970703125,826.1350708007812,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5316452980041504,0.0232599973678588,15.447446823120115,0.9420300126075744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,1907,DEU,61904101.0,312083652000.0,,,,,,,,,,,,,,,,5.485971450805664,45.321533203125,14077.5263671875,871.4566040039062,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.864192962646484,0.2907499670982361,19.914350509643555,1.2327799797058103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,1908,DEU,62839208.0,317376969000.0,,,,,,,,,,,,,,,,3.228496789932251,28.13494873046875,14315.7685546875,899.591552734375,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.01887130737305,0.4070500135421753,26.09564971923828,1.6398299932479858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,1909,DEU,63557664.0,323838360000.0,,,,,,,,,,,,,,,,1.1534639596939087,10.37646484375,14317.2041015625,909.968017578125,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.836879014968872,-0.0465199947357177,25.0687313079834,1.593309998512268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
