year,electricity_generation,population,gdp,renewables_share_energy
1985,522.5339965820312,77863423.0,1874769842531.0,1.2497079372406006
1986,523.5570068359375,77923806.0,1916181384234.0,1.3332979679107666
1987,532.4420166015625,78062321.0,1945055815890.0,1.426326870918274
1988,549.4920043945312,78385992.0,2009989460679.0,1.419080376625061
1989,559.8729858398438,79007062.0,2075675216851.0,1.323613166809082
1990,542.260009765625,79707963.0,2015547498359.0,1.2639511823654177
1991,536.02001953125,80303190.0,2141316417831.0,1.2020515203475952
1992,533.77001953125,80934901.0,2204952392823.0,1.4379584789276123
1993,520.719970703125,81486771.0,2206290854718.0,1.4977083206176758
1994,521.0499877929688,81773613.0,2283952742009.0,1.646116018295288
1995,530.719970703125,82019890.0,2347761113534.0,1.7878118753433228
1996,548.22998046875,82263195.0,2391519573153.0,1.593106746673584
1997,546.3699951171875,82389631.0,2461046373781.0,1.7087604999542236
1998,549.260009765625,82011933.0,2535903706522.0,1.8677492141723635
1999,549.27001953125,81678279.0,2613176576967.0,2.112010717391968
2000,568.9500122070312,81797255.0,2718560455818.0,2.7381491661071777
2001,578.9400024414062,81933882.0,2793373055251.0,2.7976856231689453
2002,583.760009765625,82068328.0,2822441773260.0,3.3654510974884038
2003,602.030029296875,82111619.0,2831676106520.0,3.4766616821289062
2004,609.5999755859375,82092706.0,2894624877966.0,4.315670967102051
2005,613.3400268554688,82046733.0,2945460930734.0,4.992346286773682
2006,630.2000122070312,81701971.0,3086359147617.0,5.797013759613037
2007,631.0999755859375,81298546.0,3220275669650.0,7.369626045227051
2008,632.2899780273438,81110780.0,3289020399474.0,7.522728443145752
2009,587.9600219726562,80935276.0,3136502162046.0,8.146815299987793
2010,624.2100219726562,80830916.0,3301123203586.0,8.465435981750488
2011,605.0,            80857877.0,3467712967640.0,10.167926788330078
2012,619.8099975585938,80916391.0,3482225441398.0,11.459871292114258
2013,629.6900024414062,81041581.0,3497463140441.0,11.60320281982422
2014,618.75,           81376078.0,3574741315261.0,12.839898109436035
2015,639.1699829101562,82077546.0,3628073946157.0,14.318381309509276
2016,641.52001953125,82760102.0,3708979940863.0,14.101187705993652
2017,644.4600219726562,83104010.0,3808389445530.0,15.387794494628906
2018,632.280029296875,83368507.0,3845758522294.0,16.262758255004883
2019,600.0900268554688,83559184.0,3886392581475.0,17.811208724975586
2020,566.75,           83628711.0,3742721113842.0,20.017168045043945
2021,578.8300170898438,83697080.0,3841041747482.0,18.08249855041504
2022,566.8800048828125,84086227.0,3909612753939.0,20.32915496826172
2023,503.6900024414063,84548233.0,3909612753939.0,23.602962493896484
2024,492.9599914550781,84552234.0,3909612753939.0,23.96800804138184
2025,497.4400024414063,84075075.0,3909612753939.0,23.96800804138184
